Chembl_id,SMILES,pIC50,MW,LogP,HBD,HBA,TPSA,RotBonds,ArRings,Rings,HeavyAtoms
CHEMBL4129781,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,7.698970004336019,598.7080000000002,3.9304000000000032,2,11,126.61999999999999,9,4,5,44
CHEMBL4128415,C=CC(=O)Nc1cccc(-n2c(=O)n(Cc3ccccc3)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,8.920818753952375,646.752,4.397800000000004,2,11,126.61999999999999,10,5,6,48
CHEMBL4128567,C=CC(=O)Nc1cccc(-n2c(=O)n(CCc3ccccc3)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,9.154901959985745,660.7789999999999,4.592200000000004,2,11,126.61999999999999,11,5,6,49
CHEMBL4130016,C=CC(=O)Nc1cccc(-n2c(=O)n(CCCc3ccccc3)c(=O)c3cnc(Nc4ccc(N5CCC(N(C)C)CC5)cc4OC)nc32)c1,8.42021640338319,674.8059999999998,4.982300000000004,2,11,126.61999999999999,12,5,6,50
CHEMBL4127317,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,7.102372908709558,570.6540000000002,3.1518000000000015,2,11,126.61999999999999,8,4,5,42
CHEMBL4125940,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)c(OC)c4)nc32)c1,6.924453038607469,570.6540000000002,3.1518000000000006,2,11,126.61999999999999,8,4,5,42
CHEMBL4126630,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)c(C)c4)nc32)c1,7.468521082957745,554.6550000000003,3.451620000000002,2,10,117.38999999999999,7,4,5,41
CHEMBL4129902,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N(C)CCN(C)C)cc4OC)nc32)c1,6.91721462968355,572.6700000000002,3.397800000000001,2,11,126.61999999999999,11,4,4,42
CHEMBL4126986,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(OCCN(C)C)cc4OC)nc32)c1,6.6439741428068775,559.6270000000002,3.3404000000000016,2,11,132.61,11,4,4,41
CHEMBL4129607,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCC(N6CCN(C)CC6)CC5)cc4OC)nc32)c1,6.619788758288394,653.7879999999999,3.6162000000000027,2,12,129.85999999999999,9,4,6,48
CHEMBL4168235,COc1cc2c(Nc3ccc(C#N)cc3)ncnc2cc1OCCCN1CCC(c2ccccc2)CC1,8.441291429466835,493.61100000000044,5.902180000000006,1,7,83.3,9,4,5,37
CHEMBL4171764,Brc1cccc(Nc2ncnc3sc4c(c23)CCCC4)c1,8.58335949266172,360.28000000000026,5.076200000000002,1,4,37.81,2,3,4,21
CHEMBL4166412,NS(=O)(=O)c1ccc(-n2c(SCC(=O)Nc3cnc4ccccc4c3)nc3cc4ccccc4cc3c2=O)cc1,6.958607314841775,567.6520000000002,4.465300000000004,2,8,137.04,6,6,6,40
CHEMBL4176629,NS(=O)(=O)c1ccc(-n2c(SCC(=O)Nc3ccc([N+](=O)[O-])cc3[N+](=O)[O-])nc3cc4ccccc4cc3c2=O)cc1,7.221848749616356,606.5980000000002,3.733500000000002,2,11,210.43,8,5,5,42
CHEMBL4164936,NS(=O)(=O)c1ccc(-n2c(SCC(=O)Nc3cc(Cl)c(Cl)cc3Cl)nc3cc4ccccc4cc3c2=O)cc1,6.619788758288394,619.9390000000002,5.877300000000004,2,7,124.15,6,5,5,39
CHEMBL4171543,C=CC(=O)Nc1ccc(-c2ccc(NC(=O)Nc3cccc(Cl)c3)cc2)cn1,8.060480747381382,392.84600000000006,5.170500000000002,3,3,83.12,5,3,3,28
CHEMBL4159161,COc1cc(-c2nc(CN3CCC(C)CC3)cs2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.0,627.236,7.163300000000007,2,10,109.33999999999999,10,4,5,42
CHEMBL4167072,COc1cc(-c2nc(CN3CCN(C)CC3)cs2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.0,628.224,5.678800000000004,2,11,112.58,10,4,5,42
CHEMBL4163707,CC(C)Oc1cc(-c2nc(CN3CCN(C)CC3)cs2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.0,656.278,6.457400000000006,2,11,112.58,11,4,5,44
CHEMBL4160581,CC(C)Oc1cc(-c2nc(CN3CCN(CCO)CC3)cs2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.0,686.3040000000001,5.819900000000005,3,12,132.81,13,4,5,46
CHEMBL4168473,COc1cc(-n2cc(CN3CCC(C)CC3)nn2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.0,611.172,5.620500000000004,2,11,127.15999999999998,10,4,5,42
CHEMBL4174347,COc1cc(-n2cc(CN3CCN(C)CC3)nn2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.0,612.16,4.136000000000002,2,12,130.39999999999998,10,4,5,42
CHEMBL4166436,COc1cc(-n2cc(CN3C[C@@H](C)N[C@@H](C)C3)nn2)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.062983892535185,626.187,4.570800000000002,3,12,139.19,10,4,5,43
